PERMNO,date,NCUSIP,TICKER,COMNAM,PERMCO,CUSIP,NWPERM,PRC
66800,30/09/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,59.34000
66800,31/10/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,61.70000
66800,30/11/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,63.33000
66800,30/12/2016,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,65.31000
66800,31/01/2017,02687478,AIG,AMERICAN INTERNATIONAL GROUP INC,137,02687478,,64.26000
67029,29/01/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.34000
67029,26/02/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.46000
67029,31/03/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,2.00000
67029,30/04/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.87000
67029,28/05/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.57000
67029,30/06/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.35010
67029,30/07/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.49000
67029,31/08/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.28000
67029,30/09/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.47000
67029,29/10/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.42000
67029,30/11/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.50000
67029,31/12/2010,46564T10,ITI,ITERIS INC,3333,46564T10,,1.81950
67029,31/01/2011,46564T10,ITI,ITERIS INC,3333,46564T10,,1.75000
67029,28/02/2011,46564T10,ITI,ITERIS INC,3333,46564T10,,1.65000
67029,31/03/2011,46564T10,ITI,ITERIS INC,3333,46564T10,,1.44000
67029,29/04/2011,46564T10,ITI,ITERIS INC,3333,46564T10,,1.38990
67029,31/05/2011,46564T10,ITI,ITERIS INC,3333,46564T10,,1.33000
67029,30/06/2011,46564T10,ITI,ITERIS INC,3333,46564T10,,1.30000
67029,29/07/2011,46564T10,ITI,ITERIS INC,3333,46564T10,,1.29000
67029,31/08/2011,46564T10,ITI,ITERIS INC,3333,46564T10,,1.17000
