gvkey,splticrm,spsticrm,datadate,ggroup,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,conm,tic,cusip
001075,A-,A-2,30/11/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/12/2014,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/01/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,28/02/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/03/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/04/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/05/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/06/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/07/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/08/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/09/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/10/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/11/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/12/2015,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/01/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,29/02/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/03/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/04/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/05/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/06/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/07/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/08/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/09/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/10/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,30/11/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/12/2016,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001075,A-,A-2,31/01/2017,5510,551010,55,55101010,2211,4911,705,700,PINNACLE WEST CAPITAL CORP,PNW,723484101
001078,AA,A-1+,31/01/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,28/02/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/03/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/04/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/05/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/06/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/07/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/08/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/09/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/10/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/11/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/12/2010,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/01/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,28/02/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/03/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/04/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/05/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/06/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/07/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/08/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/09/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/10/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/11/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/12/2011,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/01/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,29/02/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/03/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/04/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/05/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/06/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/07/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,31/08/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,AA,A-1+,30/09/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,A+,A-1+,31/10/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,A+,A-1+,30/11/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,A+,A-1+,31/12/2012,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,A+,A-1+,31/01/2013,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,A+,A-1+,28/02/2013,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,A+,A-1+,31/03/2013,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,A+,A-1+,30/04/2013,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,A+,A-1+,31/05/2013,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
001078,A+,A-1+,30/06/2013,3510,351010,35,35101010,325412,2834,280,905,ABBOTT LABORATORIES,ABT,002824100
